Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
67;4064;6;116380;122383;6003;11000;43;
103;4033;7;92231;130292;38061;11000;44;
101;4030;6;123040;133732;10692;11000;45;
110;4041;7;106963;130166;23203;11000;46;
216;4065;6;90838;144187;53349;11000;47;
147;4011;7;137733;144103;6370;11000;48;
101;3982;6;100714;131900;31186;11000;49;
20;4387;7;128035;161784;33749;12000;0;
73;4439;6;124362;141668;17306;12000;1;
75;4427;6;101343;156673;55330;12000;2;
155;4401;7;133615;151737;18122;12000;3;
122;4353;7;112977;142317;29340;12000;4;
72;4448;9;105408;137197;31789;12000;5;
39;4386;7;123554;157789;34235;12000;6;
167;4422;7;116999;149932;32933;12000;7;
84;4453;7;114758;146551;31793;12000;8;
115;4396;7;116315;144794;28479;12000;9;
121;4430;7;116158;138166;22008;12000;10;
155;4446;6;108951;153705;44754;12000;11;
206;4349;7;123066;138375;15309;12000;12;
207;4464;7;120939;146935;25996;12000;13;
110;4385;6;113483;132144;18661;12000;14;
187;4440;7;100244;126438;26194;12000;15;
179;4444;7;189716;198598;8882;12000;16;
69;4420;7;122085;136871;14786;12000;17;
319;4454;6;139082;156675;17593;12000;18;
124;4439;6;139600;142071;2471;12000;19;
110;4462;8;104167;144256;40089;12000;20;
53;4408;7;142502;149562;7060;12000;21;
149;4395;6;123167;139964;16797;12000;22;
72;4425;7;148365;149160;795;12000;23;
122;4416;7;129286;154981;25695;12000;24;
126;4481;7;126555;137065;10510;12000;25;
237;4425;7;122457;132016;9559;12000;26;
212;4479;6;105357;134624;29267;12000;27;
171;4405;7;149456;154745;5289;12000;28;
8;4405;6;115198;148787;33589;12000;29;
71;4449;7;115219;150434;35215;12000;30;
111;4447;7;127926;163289;35363;12000;31;
81;4432;7;119841;134134;14293;12000;32;
95;4409;7;115589;154991;39402;12000;33;
167;4461;6;125004;143448;18444;12000;34;
76;4399;6;129339;150403;21064;12000;35;
159;4377;8;110925;132388;21463;12000;36;
275;4399;7;124844;148886;24042;12000;37;
147;4339;6;112496;160046;47550;12000;38;
78;4461;7;113378;149220;35842;12000;39;
110;4404;6;105904;138737;32833;12000;40;
110;4396;6;132872;154523;21651;12000;41;
112;4391;8;142247;144380;2133;12000;42;
205;4469;7;118901;138145;19244;12000;43;
10;4372;6;120576;164708;44132;12000;44;
147;4419;7;118405;143033;24628;12000;45;
46;4411;6;119492;146675;27183;12000;46;
97;4448;7;117165;137318;20153;12000;47;
